    Raman shift    inc freq                      X                               Y                                Z
                                            Real       Imag                 Real       Imag                 Real       Imag
      0.00000    32262.16000        0.156430E+01   0.404653E-01     -0.722367E+01  -0.186862E+00      0.430633E-13   0.334234E-15

                                   -0.722367E+01  -0.186862E+00      0.333577E+02   0.862897E+00      0.597539E-13   0.113967E-14

                                    0.430633E-13   0.334234E-15      0.597539E-13   0.113967E-14      0.734720E-01   0.780359E-03

