 # Mode   Huang-Rhys factor
           1 -1.464328180506913E-026
           2  -1.14936620282072     
           3 -9.200073119612870E-026
           4 -6.486414046823899E-025
           5  1.062670953048503E-024
           6  0.182200506462546     
           7  9.011865183077226E-026
           8  1.458932645229759E-025
           9  2.813055535858071E-027
          10  0.214007938962729     
          11  1.564014051359868E-024
          12  7.562869528452277E-003
          13  1.514085681819211E-026
          14  9.969698490939018E-002
          15  7.441244418243799E-028
          16  2.744380362824741E-026
          17  5.050964728056255E-004
          18  1.582692954074843E-023
          19  3.315540523835119E-003
          20  3.266720841172831E-002
          21  2.330921601474296E-003
          22  0.262639122420134     
          23  9.469153296447933E-004
          24  0.460423406186406     
          25  1.265806728699022E-002
          26  9.392876287535872E-002
          27  0.382106906634282     
          28  7.830688774192431E-002
          29  1.105080723560062E-006
          30  5.326955321569003E-002
          31  0.128249285059511     
          32  0.311103754705281     
          33  0.160701511201255     
          34  3.104659277538124E-002
          35  9.273529517399582E-004
          36  1.707714222840185E-003
          37  1.141397764970000E-003
          38  2.926655674818260E-005
          39  4.223822013333581E-007
