  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      32262.16         0.12046E+05   0.69108E+04   0.33010E+05   0.00000E+00
       0.00      32302.49         0.12142E+05   0.69604E+04   0.33310E+05   0.00000E+00
       0.00      32342.82         0.12240E+05   0.70106E+04   0.33615E+05   0.00000E+00
       0.00      32383.14         0.12339E+05   0.70619E+04   0.33926E+05   0.00000E+00
       0.00      32423.47         0.12440E+05   0.71139E+04   0.34242E+05   0.00000E+00
       0.00      32463.80         0.12544E+05   0.71668E+04   0.34564E+05   0.00000E+00
       0.00      32504.13         0.12648E+05   0.72207E+04   0.34892E+05   0.00000E+00
       0.00      32544.45         0.12755E+05   0.72754E+04   0.35226E+05   0.00000E+00
       0.00      32584.78         0.12863E+05   0.73310E+04   0.35565E+05   0.00000E+00
       0.00      32625.11         0.12974E+05   0.73876E+04   0.35911E+05   0.00000E+00
       0.00      32665.44         0.13086E+05   0.74452E+04   0.36264E+05   0.00000E+00
       0.00      32705.76         0.13201E+05   0.75038E+04   0.36622E+05   0.00000E+00
       0.00      32746.09         0.13317E+05   0.75633E+04   0.36988E+05   0.00000E+00
       0.00      32786.42         0.13436E+05   0.76240E+04   0.37360E+05   0.00000E+00
       0.00      32826.75         0.13556E+05   0.76857E+04   0.37740E+05   0.00000E+00
       0.00      32867.08         0.13679E+05   0.77485E+04   0.38127E+05   0.00000E+00
       0.00      32907.40         0.13805E+05   0.78124E+04   0.38521E+05   0.00000E+00
       0.00      32947.73         0.13932E+05   0.78775E+04   0.38922E+05   0.00000E+00
       0.00      32988.06         0.14062E+05   0.79437E+04   0.39332E+05   0.00000E+00
       0.00      33028.39         0.14194E+05   0.80112E+04   0.39749E+05   0.00000E+00
       0.00      33068.71         0.14329E+05   0.80799E+04   0.40175E+05   0.00000E+00
       0.00      33109.04         0.14467E+05   0.81499E+04   0.40609E+05   0.00000E+00
       0.00      33149.37         0.14607E+05   0.82212E+04   0.41052E+05   0.00000E+00
       0.00      33189.70         0.14750E+05   0.82937E+04   0.41503E+05   0.00000E+00
       0.00      33230.02         0.14895E+05   0.83677E+04   0.41965E+05   0.00000E+00
       0.00      33270.35         0.15044E+05   0.84430E+04   0.42435E+05   0.00000E+00
       0.00      33310.68         0.15196E+05   0.85199E+04   0.42915E+05   0.00000E+00
       0.00      33351.01         0.15350E+05   0.85982E+04   0.43405E+05   0.00000E+00
       0.00      33391.34         0.15508E+05   0.86780E+04   0.43905E+05   0.00000E+00
       0.00      33431.66         0.15668E+05   0.87593E+04   0.44416E+05   0.00000E+00
       0.00      33471.99         0.15832E+05   0.88423E+04   0.44937E+05   0.00000E+00
