  Pre-resonance RR spectrum
  According to gradient approx. in arb. units
  
   Raman shift(cm-1)     Intensity(arb units)
   134.202814278547       2.481990530468369E-010
   160.414498648764       4.671109444292318E-009
   196.222506968502       1.516502663552859E-009
   302.966173025398       9.456756776466584E-008
   314.073671935786       3.300780322014369E-009
   428.071093190380       8.281941272470795E-007
   432.897665547400       1.145934756970946E-006
   481.644642802642       1.942385239285746E-006
   574.281892240853       2.796953587271050E-006
   635.115536576403       3.651612355654220E-007
   759.350305925986       5.736782337656190E-009
   765.259342626693       6.192422991887922E-007
   782.459498931941       2.467659409729261E-010
   804.971812791669       5.890248766182800E-008
   824.890419588050       3.240202428012773E-008
   880.921590561729       3.383665810271811E-009
   956.393872992547       5.710540529944793E-010
   1011.03132395919       2.208825351693292E-007
   1050.49441885302       5.516385376639950E-007
   1080.68456030992       1.853531121708344E-009
   1201.11498820904       2.533175660452237E-006
   1248.26158530938       3.633429511950209E-006
   1270.66058734767       3.755900894125994E-007
   1397.05735703157       9.031526915250710E-006
   1429.50333207675       6.725102597933862E-007
   1470.79206348555       2.353672403871786E-011
   1478.65872220129       8.932763176687418E-006
   1492.29004568400       8.437152762986402E-008
   1504.09274136089       6.675892533589913E-006
   1551.74072319308       7.512271217474233E-006
   1702.40081451181       2.807667697336934E-006
   1725.76279086928       5.425597731870807E-005
   1742.73689770987       4.419350000129126E-006
   3059.84894563390       3.986944891161552E-007
   3117.01761474273       3.777704006422771E-009
   3144.55398470318       3.876639598365080E-007
   3234.98442999435       5.196362720268731E-007
   3303.50140753217       6.436606004696655E-007
   3435.88003771406       5.968640493035559E-006
