 # Mode   Huang-Rhys factor
           1  0.680504943280255     
           2  1.988600973392489E-002
           3  0.150433747888444     
           4  1.130996341408073E-003
           5  1.261910331618346E-002
           6  2.797962791494801E-002
           7  8.158722834629849E-002
           8  0.900231502567983     
           9  0.381236687819836     
          10  1.174305970564432E-003
          11  0.256293713790535     
          12  2.639582890475635E-002
          13  8.862759516576768E-002
          14  1.424296388769719E-002
          15  4.652560556275150E-002
          16  3.113464023821467E-004
          17  4.944088174994208E-003
          18  5.499666794535451E-004
          19  1.052536384688330E-002
          20  1.961671727612107E-003
          21  4.370378519936494E-002
          22  3.777098717044560E-003
          23  0.176562489087616     
          24  1.518244366381814E-002
          25  0.146954215372618     
          26  6.202707622391385E-004
          27  5.025940087435692E-003
          28  2.781543586050842E-002
          29  9.470150259132135E-002
          30  1.042070322639679E-002
          31  2.720206323701316E-002
          32  0.100728268499126     
          33  1.190442525014571E-004
          34  6.667860357509847E-005
          35  3.910938073742387E-002
          36  1.193723914252186E-003
          37  1.957587573907551E-003
          38  0.125439406260140     
          39  1.047955573200588E-002
          40  4.861262065987111E-003
          41  2.054901022772856E-005
          42  8.452434836066586E-002
          43  1.133476279785907E-005
          44  2.265119158377420E-005
          45  0.151971352081518     
          46  7.823267016981203E-002
          47  0.129857133770037     
          48  5.298485470558715E-002
          49  2.138605560140198E-003
          50  1.961162232757710E-006
          51  4.918830415060575E-002
          52  6.158361246712419E-002
          53  0.715013401130531     
          54  0.304185314844454     
          55  2.518237685078540E-004
          56  9.794087029903609E-003
          57  1.080853956341765E-002
          58  5.946522543383338E-002
          59  0.491402580057526     
          60  4.106753847729262E-003
          61  0.165131184322277     
          62  2.275389808201646E-004
          63  1.598557013307504E-009
          64  9.229616605667565E-008
          65  2.959341828153658E-003
          66  5.717663441723532E-003
          67  2.329949065110055E-004
          68  7.401190114332610E-004
          69  6.443513912163275E-005
          70  5.101660966921140E-004
          71  6.189338595661121E-004
          72  6.055374042237363E-004
          73  1.273281810041539E-006
          74  1.488305036529743E-006
          75  4.015023052119982E-005
