  Pre-resonance RR spectrum
  According to gradient approx. in arb. units
  
   Raman shift(cm-1)     Intensity(arb units)
   23.6997352419354       4.947974309808120E-009
   40.6517816006634       1.190323258972930E-008
   53.9544965264917       3.682784570645813E-011
   62.8630171491630       1.746648094597809E-008
   69.5886825212930       3.503113704634644E-009
   101.744224029482       1.470207488414850E-009
   118.248472730226       4.042771322303250E-009
   138.709570169578       1.786863467336057E-010
   149.178783859682       1.509115022565322E-007
   159.843988739577       6.360120655041495E-009
   167.959132412470       5.107288064846421E-009
   175.739091131377       2.223637462019240E-008
   183.573184452196       1.254159162700758E-008
   192.132660968712       7.055807145270832E-008
   224.447165862640       5.250701387670960E-008
   254.125933956761       1.720011726671749E-010
   282.035047395118       6.195777352970501E-009
   305.982024094330       2.827197117576311E-008
   309.813905632099       6.459178047216612E-008
   325.044325309661       6.754987681879656E-009
   344.142441433074       4.928721830207183E-008
   395.855816743411       8.826093954269334E-011
   415.636767405925       1.585650039363934E-006
   431.584707601711       2.440312276128675E-008
   438.628768017273       9.911728503401186E-007
   465.491986533697       1.677534089189933E-007
   482.386413309967       9.767467984902871E-007
   531.930171000887       6.513777375914652E-008
   567.099239704225       1.074103876016974E-007
   608.959282169616       6.361001717117487E-009
   625.239905284843       2.574512974485502E-008
   636.248071213416       4.631916831531746E-007
   684.263726095192       6.928406038417822E-008
   762.325752903034       5.482315080564748E-007
   766.649180157236       1.182991085307692E-005
   783.207809651384       1.279089297985053E-007
   809.451631467583       3.849434730957526E-010
   825.091633039753       8.469049116453041E-006
   882.386415533503       2.157665964511209E-011
   912.208516073397       1.971335624317492E-008
   956.449845373117       1.129319731360215E-009
   1012.27673121049       3.499145113324989E-006
   1051.79740567240       3.293077841614032E-006
   1080.68978806951       4.823062662900637E-009
   1201.81892460342       1.011497132945300E-007
   1248.77866510322       1.712781127992697E-005
   1270.75585334993       1.423929609738840E-006
   1397.03663766636       5.992691307144173E-006
   1429.49322272196       1.908692477251380E-007
   1470.79209011455       1.515810191600593E-010
   1478.72849558711       8.564938866668979E-006
   1492.25531580604       1.568414345321203E-006
   1504.55799205295       4.398937654333940E-005
   1552.32905066910       8.959556177724694E-005
   1594.80705219751       4.409530319255343E-007
   1606.29292884899       8.761787501354528E-008
   1633.11133670488       6.273361535511204E-010
   1669.25002802677       1.122629018712432E-007
   1710.05115924375       5.274208532134472E-008
   1726.46945688145       2.812549453785584E-005
   1749.67514635566       2.916608587287386E-006
   3059.84780310493       7.039929841544023E-007
   3117.01761777200       1.496772235664932E-009
   3144.55318670806       3.259014231193778E-007
   3234.98447545953       7.117978336769479E-008
   3295.07446911818       1.653144367083627E-007
   3410.56623020588       6.288551475144784E-012
   3434.60192156542       2.234233019895106E-007
   3523.21729447624       7.776570771830461E-009
   3668.48046022784       1.276334814471086E-007
   3695.20194163983       3.120801183021608E-007
   3734.81007365276       2.726867167661598E-007
   3879.33499759780       1.467995402580879E-010
   3892.89061514769       5.442923149899889E-011
   3896.99547226871       1.422178807764195E-008
