  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      32262.16         0.12054E+05   0.69183E+04   0.33018E+05   0.00000E+00
       0.00      32302.49         0.12151E+05   0.69679E+04   0.33318E+05   0.00000E+00
       0.00      32342.82         0.12249E+05   0.70182E+04   0.33624E+05   0.00000E+00
       0.00      32383.14         0.12348E+05   0.70694E+04   0.33934E+05   0.00000E+00
       0.00      32423.47         0.12449E+05   0.71215E+04   0.34250E+05   0.00000E+00
       0.00      32463.80         0.12552E+05   0.71745E+04   0.34572E+05   0.00000E+00
       0.00      32504.13         0.12657E+05   0.72283E+04   0.34900E+05   0.00000E+00
       0.00      32544.45         0.12764E+05   0.72831E+04   0.35234E+05   0.00000E+00
       0.00      32584.78         0.12872E+05   0.73387E+04   0.35574E+05   0.00000E+00
       0.00      32625.11         0.12983E+05   0.73953E+04   0.35919E+05   0.00000E+00
       0.00      32665.44         0.13095E+05   0.74529E+04   0.36272E+05   0.00000E+00
       0.00      32705.76         0.13210E+05   0.75116E+04   0.36631E+05   0.00000E+00
       0.00      32746.09         0.13326E+05   0.75711E+04   0.36996E+05   0.00000E+00
       0.00      32786.42         0.13445E+05   0.76318E+04   0.37368E+05   0.00000E+00
       0.00      32826.75         0.13565E+05   0.76935E+04   0.37748E+05   0.00000E+00
       0.00      32867.08         0.13688E+05   0.77564E+04   0.38134E+05   0.00000E+00
       0.00      32907.40         0.13814E+05   0.78204E+04   0.38529E+05   0.00000E+00
       0.00      32947.73         0.13941E+05   0.78855E+04   0.38930E+05   0.00000E+00
       0.00      32988.06         0.14071E+05   0.79517E+04   0.39340E+05   0.00000E+00
       0.00      33028.39         0.14204E+05   0.80192E+04   0.39757E+05   0.00000E+00
       0.00      33068.71         0.14339E+05   0.80880E+04   0.40183E+05   0.00000E+00
       0.00      33109.04         0.14476E+05   0.81579E+04   0.40617E+05   0.00000E+00
       0.00      33149.37         0.14616E+05   0.82293E+04   0.41060E+05   0.00000E+00
       0.00      33189.70         0.14759E+05   0.83018E+04   0.41511E+05   0.00000E+00
       0.00      33230.02         0.14905E+05   0.83758E+04   0.41972E+05   0.00000E+00
       0.00      33270.35         0.15054E+05   0.84513E+04   0.42443E+05   0.00000E+00
       0.00      33310.68         0.15205E+05   0.85282E+04   0.42923E+05   0.00000E+00
       0.00      33351.01         0.15360E+05   0.86065E+04   0.43413E+05   0.00000E+00
       0.00      33391.34         0.15517E+05   0.86864E+04   0.43913E+05   0.00000E+00
       0.00      33431.66         0.15678E+05   0.87677E+04   0.44423E+05   0.00000E+00
       0.00      33471.99         0.15842E+05   0.88507E+04   0.44945E+05   0.00000E+00
