  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      35286.74         0.62482E+03   0.26380E+03   0.23209E+04   0.00000E+00
       0.00      35327.07         0.62992E+03   0.26595E+03   0.23398E+04   0.00000E+00
       0.00      35367.39         0.63510E+03   0.26813E+03   0.23591E+04   0.00000E+00
       0.00      35407.72         0.64034E+03   0.27034E+03   0.23786E+04   0.00000E+00
       0.00      35448.05         0.64566E+03   0.27258E+03   0.23984E+04   0.00000E+00
       0.00      35488.38         0.65106E+03   0.27486E+03   0.24185E+04   0.00000E+00
       0.00      35528.70         0.65655E+03   0.27717E+03   0.24388E+04   0.00000E+00
       0.00      35569.03         0.66211E+03   0.27952E+03   0.24595E+04   0.00000E+00
       0.00      35609.36         0.66775E+03   0.28190E+03   0.24805E+04   0.00000E+00
       0.00      35649.69         0.67348E+03   0.28431E+03   0.25018E+04   0.00000E+00
       0.00      35690.01         0.67930E+03   0.28676E+03   0.25235E+04   0.00000E+00
       0.00      35730.34         0.68520E+03   0.28925E+03   0.25454E+04   0.00000E+00
       0.00      35770.67         0.69120E+03   0.29178E+03   0.25677E+04   0.00000E+00
       0.00      35811.00         0.69728E+03   0.29434E+03   0.25903E+04   0.00000E+00
       0.00      35851.33         0.70346E+03   0.29695E+03   0.26133E+04   0.00000E+00
       0.00      35891.65         0.70974E+03   0.29959E+03   0.26366E+04   0.00000E+00
       0.00      35931.98         0.71611E+03   0.30228E+03   0.26604E+04   0.00000E+00
       0.00      35972.31         0.72259E+03   0.30501E+03   0.26844E+04   0.00000E+00
       0.00      36012.64         0.72916E+03   0.30778E+03   0.27089E+04   0.00000E+00
       0.00      36052.96         0.73584E+03   0.31060E+03   0.27337E+04   0.00000E+00
       0.00      36093.29         0.74263E+03   0.31346E+03   0.27590E+04   0.00000E+00
       0.00      36133.62         0.74952E+03   0.31636E+03   0.27846E+04   0.00000E+00
       0.00      36173.95         0.75653E+03   0.31932E+03   0.28107E+04   0.00000E+00
       0.00      36214.27         0.76365E+03   0.32232E+03   0.28372E+04   0.00000E+00
       0.00      36254.60         0.77089E+03   0.32537E+03   0.28641E+04   0.00000E+00
       0.00      36294.93         0.77824E+03   0.32847E+03   0.28914E+04   0.00000E+00
       0.00      36335.26         0.78572E+03   0.33162E+03   0.29192E+04   0.00000E+00
       0.00      36375.59         0.79333E+03   0.33482E+03   0.29475E+04   0.00000E+00
       0.00      36415.91         0.80106E+03   0.33808E+03   0.29763E+04   0.00000E+00
       0.00      36456.24         0.80892E+03   0.34139E+03   0.30055E+04   0.00000E+00
       0.00      36496.57         0.81691E+03   0.34476E+03   0.30352E+04   0.00000E+00
       0.00      36536.90         0.82504E+03   0.34819E+03   0.30655E+04   0.00000E+00
       0.00      36577.22         0.83331E+03   0.35167E+03   0.30963E+04   0.00000E+00
       0.00      36617.55         0.84173E+03   0.35522E+03   0.31276E+04   0.00000E+00
       0.00      36657.88         0.85029E+03   0.35883E+03   0.31594E+04   0.00000E+00
       0.00      36698.21         0.85900E+03   0.36250E+03   0.31918E+04   0.00000E+00
       0.00      36738.53         0.86787E+03   0.36623E+03   0.32248E+04   0.00000E+00
       0.00      36778.86         0.87689E+03   0.37004E+03   0.32584E+04   0.00000E+00
       0.00      36819.19         0.88608E+03   0.37391E+03   0.32925E+04   0.00000E+00
       0.00      36859.52         0.89543E+03   0.37785E+03   0.33273E+04   0.00000E+00
       0.00      36899.85         0.90495E+03   0.38186E+03   0.33627E+04   0.00000E+00
       0.00      36940.17         0.91465E+03   0.38594E+03   0.33988E+04   0.00000E+00
       0.00      36980.50         0.92452E+03   0.39011E+03   0.34355E+04   0.00000E+00
       0.00      37020.83         0.93458E+03   0.39434E+03   0.34730E+04   0.00000E+00
       0.00      37061.16         0.94483E+03   0.39866E+03   0.35111E+04   0.00000E+00
       0.00      37101.48         0.95527E+03   0.40306E+03   0.35499E+04   0.00000E+00
       0.00      37141.81         0.96591E+03   0.40754E+03   0.35895E+04   0.00000E+00
       0.00      37182.14         0.97675E+03   0.41211E+03   0.36298E+04   0.00000E+00
       0.00      37222.47         0.98781E+03   0.41677E+03   0.36710E+04   0.00000E+00
       0.00      37262.79         0.99907E+03   0.42151E+03   0.37129E+04   0.00000E+00
       0.00      37303.12         0.10106E+04   0.42635E+03   0.37556E+04   0.00000E+00
       0.00      37343.45         0.10223E+04   0.43129E+03   0.37992E+04   0.00000E+00
       0.00      37383.78         0.10342E+04   0.43632E+03   0.38437E+04   0.00000E+00
       0.00      37424.11         0.10464E+04   0.44146E+03   0.38890E+04   0.00000E+00
