  Pre-resonance RR spectrum
  According to gradient approx. in arb. units
  
   Raman shift(cm-1)     Intensity(arb units)
   23.6997352419354       1.587010267003950E-008
   40.6517816006634       1.364483468602238E-009
   53.9544965264917       1.818285299266457E-008
   62.8630171491630       1.855722810772888E-010
   69.5886825212930       2.537272941851455E-009
   101.744224029482       1.202604780482273E-008
   118.248472730226       4.736687391040863E-008
   138.709570169578       7.191649644261836E-007
   149.178783859682       3.522656331994739E-007
   159.843988739577       1.245762773848258E-009
   167.959132412470       3.001972177082140E-007
   175.739091131377       3.384803956822863E-008
   183.573184452196       1.240077740568638E-007
   192.132660968712       2.183052759186197E-008
   224.447165862640       9.731543975182662E-008
   254.125933956761       8.348400792148339E-010
   282.035047395118       1.632878348122320E-008
   305.982024094330       2.137911225390125E-009
   309.813905632099       4.194695057476873E-008
   325.044325309661       8.605437863621525E-009
   344.142441433074       2.149101795685901E-007
   395.855816743411       2.457501890709655E-008
   415.636767405925       1.266449342564650E-006
   431.584707601711       1.174181510376710E-007
   438.628768017273       1.173917929236103E-006
   465.491986533697       5.580423918988030E-009
   482.386413309967       4.855890722999168E-008
   531.930171000887       3.267808372774829E-007
   567.099239704225       1.264551331529319E-006
   608.959282169616       1.604482558029875E-007
   625.239905284843       4.415264103336992E-007
   636.248071213416       1.693034427312406E-006
   684.263726095192       2.314285485489758E-009
   762.325752903034       1.608900334634574E-009
   766.649180157236       9.544116981411341E-007
   783.207809651384       3.040320559030909E-008
   809.451631467583       5.325550022865710E-008
   825.091633039753       3.545682298788145E-006
   882.386415533503       3.387832748933519E-007
   912.208516073397       1.679572449272715E-007
   956.449845373117       7.805069492822489E-010
   1012.27673121049       3.596183156515404E-006
   1051.79740567240       5.206406697372582E-010
   1080.68978806951       1.098385046970979E-009
   1201.81892460342       9.113837220207628E-006
   1248.77866510322       5.065479446244446E-006
   1270.75585334993       8.706658565023891E-006
   1397.03663766636       4.293671383099946E-006
   1429.49322272196       1.814497425321223E-007
   1470.79209011455       1.761479347488266E-010
   1478.72849558711       4.465809538604481E-006
   1492.25531580604       5.693940091282543E-006
   1504.55799205295       6.720375019829830E-005
   1552.32905066910       3.043457750330180E-005
   1594.80705219751       2.659343741296642E-008
   1606.29292884899       1.049240189460483E-006
   1633.11133670488       1.196906063402231E-006
   1669.25002802677       6.879665415403525E-006
   1710.05115924375       5.966465067222236E-005
   1726.46945688145       5.082506412398399E-007
   1749.67514635566       2.098966004366828E-005
   3059.84780310493       8.845388699542231E-008
   3117.01761777200       6.448639623419459E-013
   3144.55318670806       3.789335109702980E-011
   3234.98447545953       1.285881646439197E-006
   3295.07446911818       2.577570303523695E-006
   3410.56623020588       1.125280687687032E-007
   3434.60192156542       3.625065353165915E-007
   3523.21729447624       3.320955774481050E-008
   3668.48046022784       2.850660366726439E-007
   3695.20194163983       3.508989431179641E-007
   3734.81007365276       3.507030001673950E-007
   3879.33499759780       7.956106117414562E-010
   3892.89061514769       9.364785112778293E-010
   3896.99547226871       2.531682903552211E-008
