 # Mode   Huang-Rhys factor
           1  2.694511510450048E-022
           2  6.718122608624385E-022
           3  2.610012311838512E-021
           4  1.144100286086534E-002
           5  3.438209198862842E-023
           6  1.322003499806425E-003
           7  1.381157169006820E-023
           8  3.454817268109222E-002
           9  4.689986636908317E-003
          10  3.012715929155929E-023
          11  7.712435088507613E-006
          12  6.175124695996141E-025
          13  0.132800433891715     
          14  1.112644087036541E-024
          15  1.843516388230691E-023
          16  3.385349704925620E-003
          17  1.140409871373717E-023
          18  0.173247267371347     
          19  1.877979638469197E-002
          20  2.287054563858490E-023
          21  4.586849407601580E-002
          22  6.113752337627820E-002
          23  2.956867408989420E-003
          24  2.013233649263364E-004
          25  3.960461961786851E-002
          26  2.197704719558940E-002
          27  0.243352785460738     
          28  1.100430115805889E-021
          29  9.361072688004230E-003
          30  8.453151977656879E-002
          31  8.644620897205421E-002
          32  6.120730324868609E-003
          33   1.73607526355788     
          34  2.215997705656883E-004
          35  1.273840832962107E-028
          36  9.985256303943523E-006
          37  7.542269843258264E-005
          38  1.280846925275736E-003
          39  1.768159333752652E-004
