 # Mode   Huang-Rhys factor
           1  9.925274018606631E-002
           2  1.912000790190390E-003
           3  9.566855042820104E-003
           4  4.787743200140584E-003
           5  2.445047514703705E-005
           6  1.784106578560497E-004
           7  1.651724189026172E-002
           8  5.409767024875801E-002
           9  2.043510718212000E-003
          10  3.859882621456977E-004
          11  2.136442935683917E-003
          12  0.203119263993729     
          13  2.749265333204546E-003
          14  3.695631168241398E-004
          15  2.036129152471110E-002
          16  7.659299699869153E-003
          17  4.961266793680315E-005
          18  0.216591187360768     
          19  0.183713351721520     
          20  7.963118060607729E-006
          21  3.596809065035891E-002
          22  0.135396878743602     
          23  4.234025231388699E-002
          24  1.408083558255284E-002
          25  9.291200591365787E-004
          26  5.484256439300404E-008
          27  0.360906770744670     
          28  1.209557984042799E-003
          29  1.460149860181146E-004
          30  0.298191607962097     
          31  4.221521155549573E-003
          32  1.467701191219763E-004
          33  0.845033054674211     
          34  2.609925002557724E-004
          35  1.539036959534268E-007
          36  1.467558957297084E-006
          37  1.062767656546027E-006
          38  3.925380629986186E-003
          39  1.624213296737331E-003
