 # Mode   Huang-Rhys factor
           1 -1.465016105738301E-026
           2  -1.14936620264027     
           3 -9.141270424783687E-026
           4 -6.559098655300436E-025
           5  1.033564363710153E-024
           6  0.182200506410752     
           7  7.884438793572772E-026
           8  1.512547832423208E-025
           9  3.876455958945481E-027
          10  0.214007939003204     
          11  1.314901709080330E-024
          12  7.562869526556537E-003
          13  1.537323427570784E-026
          14  9.969698490762527E-002
          15  7.162123806593345E-028
          16  2.752168610729526E-026
          17  5.050964730866676E-004
          18  4.590557630456255E-023
          19  3.315540522757584E-003
          20  3.266720841323627E-002
          21  2.330921601362123E-003
          22  0.262639122416853     
          23  9.469153295798870E-004
          24  0.460423406184093     
          25  1.265806728956139E-002
          26  9.392876286588107E-002
          27  0.382106906666431     
          28  7.830688773832405E-002
          29  1.105080709916863E-006
          30  5.326955321739286E-002
          31  0.128249285031815     
          32  0.311103754708175     
          33  0.160701511210710     
          34  3.104659277845255E-002
          35  9.273529517430329E-004
          36  1.707714222840462E-003
          37  1.141397764970777E-003
          38  2.926655674830932E-005
          39  4.223822013118788E-007
