# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     6.4800  eV
#     vib freq     dsigma/dOmega
       0.0000         0.10645E+04
     134.2028         0.49022E-02
     160.4145         0.97680E-01
     196.2225         0.33761E-01
     302.9662         0.22508E+01
     314.0737         0.78350E-01
     428.0712         0.17845E+02
     432.8977         0.24542E+02
     481.6447         0.38890E+02
     574.2820         0.47862E+02
     635.1156         0.55185E+01
     759.3504         0.64431E-01
     765.2594         0.68500E+01
     782.4596         0.26107E-02
     804.9719         0.58736E+00
     824.8905         0.30642E+00
     880.9217         0.27488E-01
     956.3940         0.37596E-02
    1011.0315         0.12419E+01
    1050.4946         0.27545E+01
    1080.6847         0.84241E-02
    1201.1152         0.77765E+01
    1248.2618         0.97242E+01
    1270.6608         0.95298E+00
    1397.0576         0.21564E+02
    1429.5035         0.16795E+01
    1470.7923         0.63099E-04
    1478.6589         0.24282E+02
    1492.2903         0.23483E+00
    1504.0930         0.18951E+02
    1551.7409         0.22818E+02
    1702.4011         0.91819E+01
    1725.7630         0.17870E+03
    1742.7371         0.14678E+02
    3059.8494         0.12653E+01
    3117.0181         0.11378E-01
    3144.5544         0.11390E+01
    3234.9849         0.14100E+01
    3303.5019         0.16474E+01
    3435.8805         0.13701E+02
