 # Mode   Huang-Rhys factor
           1 -1.499919036817817E-025
           2 -1.674834480236186E-026
           3 -5.201042999559847E-026
           4 -1.561321646591745E-022
           5  4.770728912329812E-024
           6   2.32528859606877     
           7  2.154810066935401E-029
           8  2.120009241612071E-025
           9  0.396376892487539     
          10  1.069519718381817E-023
          11  1.330028982682239E-002
          12  2.636154405816165E-002
          13  3.595629371921940E-025
          14  5.541602530283849E-002
          15  1.264107251891411E-024
          16  4.265657839370292E-003
          17  6.017756000110295E-003
          18  0.971184976348426     
          19  0.194188654304905     
          20  2.239986342270106E-002
          21  0.105950756016651     
          22  0.150551378210959     
          23  0.181719700121701     
          24  9.268492298586715E-002
          25  6.681532686091991E-002
          26  0.451903354112886     
          27  0.186516512382186     
          28  5.005490456191358E-003
          29  5.024789604197355E-003
          30  4.808010044605334E-004
          31  3.382925671434358E-003
          32  3.774372475710771E-008
          33  7.145740469716778E-005
