 # Mode   Huang-Rhys factor
           1   3.37515939755563     
           2  0.621151103374070     
           3  0.233879063359913     
           4  0.311962283502450     
           5  0.240826229804706     
           6   1.13897382539777     
           7  0.102706817903275     
           8  5.142213460697818E-002
           9  1.202602088620562E-002
          10  3.078332004855749E-002
          11   1.10457613484848     
          12  2.660978556199341E-002
          13  2.084718550226621E-003
          14  0.152222688770403     
          15  2.464497238578547E-003
          16  1.026182804420601E-002
          17  7.422526036096883E-003
          18  9.815813476787047E-002
          19  3.416515021855784E-002
          20  4.345660895354875E-003
          21  4.791657721207715E-003
          22  8.998007757455712E-002
          23  7.072262077632969E-003
          24  4.200848209944157E-002
          25  9.238493440598012E-003
          26  7.387766653343325E-003
          27  7.257747270828042E-002
          28  2.028898351629273E-004
          29  3.100429604733649E-003
          30  1.731018955442985E-004
          31  2.079401245635204E-002
          32  1.173871984303045E-002
          33  7.717447315765497E-002
          34  5.554191476354214E-004
          35  5.985461118017394E-002
          36  8.044272842702447E-004
          37  1.245267641179078E-005
          38  4.990878698505248E-003
          39  6.615022547952995E-003
          40  4.649687947563020E-002
          41  5.631020570628885E-006
          42  1.212920173540783E-002
          43  3.089406745161034E-003
          44  6.055451596888835E-007
          45  3.130894741433366E-002
          46  6.576747925413760E-002
          47  4.081401953033367E-002
          48  2.321309823646231E-004
          49  1.218518317045200E-003
          50  1.400227089250777E-006
          51  2.735789682820159E-002
          52  1.739197735434174E-002
          53  0.158406431031534     
          54  2.005637357090873E-002
          55  1.378642910811529E-003
          56  3.885775934295081E-004
          57  5.114332304519567E-003
          58  5.997087131603111E-002
          59  0.753897891166280     
          60  8.977664573699022E-005
          61  0.124831180795954     
          62  4.440953296091593E-005
          63  2.164810318501755E-007
          64  2.312155409926907E-005
          65  7.569476231669767E-004
          66  3.503907086797653E-003
          67  1.500281230021799E-003
          68  1.706345555966103E-003
          69  1.074549401169451E-002
          70  6.470073818002152E-008
          71  3.207080661845795E-009
          72  1.558407110227449E-005
          73  1.814584329027203E-006
          74  2.600542348509195E-004
          75  2.056389146351959E-010
