  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      32262.16         0.99643E+04   0.57110E+04   0.27342E+05   0.00000E+00
       0.00      32302.49         0.10053E+05   0.57564E+04   0.27620E+05   0.00000E+00
       0.00      32342.82         0.10143E+05   0.58025E+04   0.27902E+05   0.00000E+00
       0.00      32383.14         0.10235E+05   0.58494E+04   0.28190E+05   0.00000E+00
       0.00      32423.47         0.10328E+05   0.58971E+04   0.28483E+05   0.00000E+00
       0.00      32463.80         0.10423E+05   0.59456E+04   0.28781E+05   0.00000E+00
       0.00      32504.13         0.10519E+05   0.59949E+04   0.29084E+05   0.00000E+00
       0.00      32544.45         0.10617E+05   0.60451E+04   0.29393E+05   0.00000E+00
       0.00      32584.78         0.10717E+05   0.60961E+04   0.29708E+05   0.00000E+00
       0.00      32625.11         0.10819E+05   0.61480E+04   0.30028E+05   0.00000E+00
       0.00      32665.44         0.10923E+05   0.62008E+04   0.30355E+05   0.00000E+00
       0.00      32705.76         0.11028E+05   0.62545E+04   0.30687E+05   0.00000E+00
       0.00      32746.09         0.11135E+05   0.63091E+04   0.31026E+05   0.00000E+00
       0.00      32786.42         0.11245E+05   0.63648E+04   0.31372E+05   0.00000E+00
       0.00      32826.75         0.11356E+05   0.64213E+04   0.31724E+05   0.00000E+00
       0.00      32867.08         0.11470E+05   0.64789E+04   0.32082E+05   0.00000E+00
       0.00      32907.40         0.11585E+05   0.65377E+04   0.32448E+05   0.00000E+00
       0.00      32947.73         0.11703E+05   0.65974E+04   0.32821E+05   0.00000E+00
       0.00      32988.06         0.11823E+05   0.66581E+04   0.33201E+05   0.00000E+00
       0.00      33028.39         0.11945E+05   0.67201E+04   0.33589E+05   0.00000E+00
       0.00      33068.71         0.12070E+05   0.67832E+04   0.33984E+05   0.00000E+00
       0.00      33109.04         0.12197E+05   0.68474E+04   0.34388E+05   0.00000E+00
       0.00      33149.37         0.12326E+05   0.69129E+04   0.34799E+05   0.00000E+00
       0.00      33189.70         0.12458E+05   0.69796E+04   0.35219E+05   0.00000E+00
       0.00      33230.02         0.12593E+05   0.70476E+04   0.35648E+05   0.00000E+00
       0.00      33270.35         0.12730E+05   0.71168E+04   0.36085E+05   0.00000E+00
       0.00      33310.68         0.12870E+05   0.71874E+04   0.36532E+05   0.00000E+00
       0.00      33351.01         0.13013E+05   0.72594E+04   0.36988E+05   0.00000E+00
       0.00      33391.34         0.13159E+05   0.73329E+04   0.37454E+05   0.00000E+00
       0.00      33431.66         0.13308E+05   0.74077E+04   0.37930E+05   0.00000E+00
       0.00      33471.99         0.13460E+05   0.74840E+04   0.38415E+05   0.00000E+00
