 # full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
 #at incident freq = ABS maximum    5.53500000000000        eV
 #    vib freq     dsigma/dOmega
       0.0000         0.54450E+07
     134.2028         0.42972E+02
     160.4145         0.47666E+00
     196.2225         0.37422E+02
     302.9662         0.39261E+03
     314.0737         0.35199E+02
     428.0711         0.28307E+04
     432.8977         0.90116E+04
     481.6446         0.15691E+05
     574.2819         0.11736E+05
     635.1155         0.30783E+05
     759.3503         0.67037E+03
     765.2593         0.48087E+05
     782.4595         0.50234E+03
     804.9718         0.15487E+03
     824.8904         0.43288E+05
     880.9216         0.79876E+03
     956.3939         0.95685E+01
    1011.0313         0.32264E+05
    1050.4944         0.82197E+04
    1080.6846         0.43971E+02
    1201.1150         0.60354E+05
    1248.2616         0.87883E+04
    1270.6606         0.20730E+06
    1397.0574         0.40521E+06
    1429.5033         0.14228E+03
    1470.7921         0.54977E+01
    1478.6587         0.44140E+05
    1492.2900         0.60822E+04
    1504.0927         0.68596E+05
    1551.7407         0.32716E+05
    1702.4008         0.16731E+06
    1725.7628         0.50334E+06
    1742.7369         0.13439E+06
    3059.8489         0.48198E+04
    3117.0176         0.23780E+00
    3144.5540         0.11125E+04
    3234.9844         0.26789E+05
    3303.5014         0.13070E+05
    3435.8800         0.11153E+05
