 # Mode   Huang-Rhys factor
           1  3.174154630862525E-024
           2  5.515054728312481E-022
           3  2.331073793022779E-021
           4  7.697958289639498E-004
           5  4.261054547030014E-023
           6  0.523518926117480     
           7  2.103970315011918E-020
           8  0.136809123314223     
           9  3.399506806101949E-002
          10  1.968615293745520E-022
          11  2.458745110986344E-002
          12  4.530065178417493E-024
          13  0.425625534021935     
          14  6.404831328470166E-025
          15  4.576550749810004E-024
          16  0.263351363460312     
          17  1.113548104983348E-023
          18  0.107347082156979     
          19  1.225872817554231E-002
          20  1.061841785010167E-023
          21  1.355117984343429E-003
          22  0.165484992905842     
          23  6.382328286716119E-002
          24  9.033738019785448E-002
          25  7.584291521953899E-002
          26  5.425624878435203E-002
          27  0.334276977185794     
          28  1.078603728969950E-022
          29  1.380324322472134E-002
          30  0.914170248841514     
          31  0.230839319593560     
          32  3.324031774103338E-002
          33  7.080595563043035E-002
          34  1.735841836021809E-003
          35  2.008307760881544E-025
          36  8.782868878968740E-004
          37  1.255724206574346E-004
          38  6.379528521209949E-007
          39  6.718983867982112E-004
