 # Mode   Huang-Rhys factor
           1 -3.445816951956173E-027
           2 -7.648455739324011E-026
           3 -3.208606253830538E-026
           4 -1.177440075555359E-025
           5 -1.369259208384249E-022
           6  4.034715416938865E-023
           7  2.498206346562948E-024
           8   1.24818812451813     
           9  5.234644678821728E-023
          10  7.668787578960015E-002
          11  3.939586963282937E-025
          12  1.161684908642283E-025
          13  5.460609445856224E-003
          14  0.588832813711322     
          15  1.270536135571522E-024
          16  2.865935341091668E-025
          17  8.978087471397521E-002
          18  6.432732547684761E-002
          19  0.320324797285321     
          20  6.491303362619636E-003
          21  3.033874365296211E-026
          22  0.156299908581421     
          23  8.391050820287430E-002
          24  7.062937148670323E-002
          25  2.343027569694861E-002
          26  8.010534919853100E-002
          27  3.675229429788503E-002
          28  2.400439291656821E-002
          29  1.565485306318243E-002
          30  2.723746881803606E-002
          31  3.741316362103038E-002
          32  2.464183369945926E-005
          33  0.293633456576098     
          34  0.279908576125500     
          35  1.895778366463382E-004
          36  1.621133403662154E-002
          37  0.296802485654940     
          38  5.170031236604287E-005
          39  9.318369762411564E-004
          40  1.135783264878369E-004
          41  3.496438977480155E-004
          42  3.439274529394572E-006
