  Pre-resonance RR spectrum
  According to gradient approx. in arb. units
  
   Raman shift(cm-1)     Intensity(arb units)
   134.202814278547       4.494249786966445E-009
   160.414498648764       8.811520908063519E-012
   196.222506968502       3.019707745372871E-009
   302.966173025398       4.553104284519923E-008
   314.073671935786       4.288837239817929E-010
   428.071093190380       2.485686679294190E-007
   432.897665547400       8.951769325736473E-007
   481.644642802642       1.638955732163978E-006
   574.281892240853       1.245741926696983E-006
   635.115536576403       3.210544828188191E-006
   759.350305925986       5.173714465186526E-008
   765.259342626693       4.368486184369154E-006
   782.459498931941       4.592248607181934E-008
   804.971812791669       1.584133569988959E-008
   824.890419588050       4.015210380208997E-006
   880.921590561729       8.134912059946966E-008
   956.393872992547       9.258550399169983E-010
   1011.03132395919       3.080572457800059E-006
   1050.49441885302       7.168149404046328E-007
   1080.68456030992       4.281118487248410E-009
   1201.11498820904       6.036973903412853E-006
   1248.26158530938       2.884554065703494E-007
   1270.66058734767       2.064515316770981E-005
   1397.05735703157       3.976354392859502E-005
   1429.50333207675       8.226357015577743E-009
   1470.79206348555       5.333293160627779E-010
   1478.65872220129       4.050162084052500E-006
   1492.29004568400       5.554374674432057E-007
   1504.09274136089       5.533333533870090E-006
   1551.74072319308       6.262191887964517E-007
   1702.40081451181       1.586306233416367E-005
   1725.76279086928       4.678885636469352E-005
   1742.73689770987       1.247589371939307E-005
   3059.84894563390       3.832530385136866E-007
   3117.01761474273       1.218009458798596E-012
   3144.55398470318       8.734507707654352E-008
   3234.98442999435       2.157502318430957E-006
   3303.50140753217       1.051458719061827E-006
   3435.88003771406       8.873749857452436E-007
