  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      35286.74         0.24233E+05   0.10096E+05   0.90886E+05   0.00000E+00
       0.00      35327.07         0.24721E+05   0.10299E+05   0.92716E+05   0.00000E+00
       0.00      35367.39         0.25227E+05   0.10509E+05   0.94611E+05   0.00000E+00
       0.00      35407.72         0.25749E+05   0.10727E+05   0.96572E+05   0.00000E+00
       0.00      35448.05         0.26292E+05   0.10953E+05   0.98605E+05   0.00000E+00
       0.00      35488.38         0.26854E+05   0.11187E+05   0.10071E+06   0.00000E+00
       0.00      35528.70         0.27437E+05   0.11430E+05   0.10290E+06   0.00000E+00
       0.00      35569.03         0.28042E+05   0.11682E+05   0.10517E+06   0.00000E+00
       0.00      35609.36         0.28671E+05   0.11944E+05   0.10753E+06   0.00000E+00
       0.00      35649.69         0.29324E+05   0.12216E+05   0.10998E+06   0.00000E+00
       0.00      35690.01         0.30004E+05   0.12499E+05   0.11253E+06   0.00000E+00
       0.00      35730.34         0.30711E+05   0.12794E+05   0.11518E+06   0.00000E+00
       0.00      35770.67         0.31448E+05   0.13101E+05   0.11795E+06   0.00000E+00
       0.00      35811.00         0.32216E+05   0.13421E+05   0.12083E+06   0.00000E+00
       0.00      35851.33         0.33018E+05   0.13755E+05   0.12383E+06   0.00000E+00
       0.00      35891.65         0.33855E+05   0.14104E+05   0.12697E+06   0.00000E+00
       0.00      35931.98         0.34730E+05   0.14468E+05   0.13025E+06   0.00000E+00
       0.00      35972.31         0.35645E+05   0.14850E+05   0.13369E+06   0.00000E+00
       0.00      36012.64         0.36603E+05   0.15249E+05   0.13728E+06   0.00000E+00
       0.00      36052.96         0.37607E+05   0.15667E+05   0.14104E+06   0.00000E+00
       0.00      36093.29         0.38661E+05   0.16106E+05   0.14500E+06   0.00000E+00
       0.00      36133.62         0.39768E+05   0.16567E+05   0.14915E+06   0.00000E+00
       0.00      36173.95         0.40932E+05   0.17052E+05   0.15351E+06   0.00000E+00
       0.00      36214.27         0.42157E+05   0.17562E+05   0.15811E+06   0.00000E+00
       0.00      36254.60         0.43448E+05   0.18100E+05   0.16295E+06   0.00000E+00
       0.00      36294.93         0.44812E+05   0.18668E+05   0.16806E+06   0.00000E+00
       0.00      36335.26         0.46252E+05   0.19269E+05   0.17347E+06   0.00000E+00
       0.00      36375.59         0.47777E+05   0.19904E+05   0.17919E+06   0.00000E+00
       0.00      36415.91         0.49394E+05   0.20577E+05   0.18525E+06   0.00000E+00
       0.00      36456.24         0.51109E+05   0.21292E+05   0.19168E+06   0.00000E+00
       0.00      36496.57         0.52934E+05   0.22052E+05   0.19853E+06   0.00000E+00
       0.00      36536.90         0.54877E+05   0.22862E+05   0.20581E+06   0.00000E+00
       0.00      36577.22         0.56949E+05   0.23725E+05   0.21358E+06   0.00000E+00
       0.00      36617.55         0.59163E+05   0.24647E+05   0.22189E+06   0.00000E+00
       0.00      36657.88         0.61533E+05   0.25635E+05   0.23078E+06   0.00000E+00
       0.00      36698.21         0.64074E+05   0.26693E+05   0.24030E+06   0.00000E+00
       0.00      36738.53         0.66801E+05   0.27829E+05   0.25053E+06   0.00000E+00
       0.00      36778.86         0.69733E+05   0.29051E+05   0.26153E+06   0.00000E+00
       0.00      36819.19         0.72888E+05   0.30365E+05   0.27336E+06   0.00000E+00
       0.00      36859.52         0.76286E+05   0.31780E+05   0.28611E+06   0.00000E+00
       0.00      36899.85         0.79944E+05   0.33305E+05   0.29983E+06   0.00000E+00
       0.00      36940.17         0.83881E+05   0.34944E+05   0.31459E+06   0.00000E+00
       0.00      36980.50         0.88106E+05   0.36705E+05   0.33044E+06   0.00000E+00
       0.00      37020.83         0.92622E+05   0.38586E+05   0.34737E+06   0.00000E+00
       0.00      37061.16         0.97412E+05   0.40582E+05   0.36534E+06   0.00000E+00
