  Pre-resonance RR spectrum
  According to gradient approx. in arb. units
  
   Raman shift(cm-1)     Intensity(arb units)
   23.6997352419354       4.748180975133548E-009
   40.6517816006634       1.434628716413277E-008
   53.9544965264917       3.628891967318018E-009
   62.8630171491630       4.753060010162983E-012
   69.5886825212930       2.280411351969746E-007
   101.744224029482       1.017125758232850E-006
   118.248472730226       8.210128505153811E-008
   138.709570169578       7.623215757863743E-007
   149.178783859682       4.558340954667273E-008
   159.843988739577       1.002133561912972E-009
   167.959132412470       5.063733761180208E-007
   175.739091131377       1.875587221135284E-009
   183.573184452196       4.951720539922013E-008
   192.132660968712       5.289831358961640E-009
   224.447165862640       3.847997113032919E-009
   254.125933956761       3.274092775810582E-009
   282.035047395118       4.821724731189692E-009
   305.982024094330       4.386755242924395E-007
   309.813905632099       5.297896904010709E-009
   325.044325309661       8.300891827593509E-011
   344.142441433074       1.817943225570523E-007
   395.855816743411       7.161616261164698E-011
   415.636767405925       1.317629401048077E-006
   431.584707601711       1.254442595209165E-008
   438.628768017273       3.328489060164518E-007
   465.491986533697       9.141164045233305E-008
   482.386413309967       1.979673653517294E-006
   531.930171000887       1.117096474875813E-007
   567.099239704225       7.809694045763200E-007
   608.959282169616       5.006488380425783E-006
   625.239905284843       7.802933305912367E-011
   636.248071213416       1.524437543294399E-007
   684.263726095192       3.926153786411063E-007
   762.325752903034       1.747262961032175E-008
   766.649180157236       4.464663879496739E-007
   783.207809651384       9.247856453753320E-011
   809.451631467583       3.065494817612285E-008
   825.091633039753       1.985618731490729E-008
   882.386415533503       3.383210127408729E-008
   912.208516073397       2.007780619684581E-007
   956.449845373117       9.914077718340840E-010
   1012.27673121049       3.029643441106189E-007
   1051.79740567240       5.038979140554279E-007
   1080.68978806951       1.873047316593255E-009
   1201.81892460342       2.650781654021423E-006
   1248.77866510322       3.865342433953798E-006
   1270.75585334993       3.743057428144637E-007
   1397.03663766636       8.905578995107567E-006
   1429.49322272196       6.666124822732828E-007
   1470.79209011455       2.464963567148315E-011
   1478.72849558711       9.099148433343537E-006
   1492.25531580604       1.004595736733292E-007
   1504.55799205295       6.994877794467074E-006
   1552.32905066910       7.190836285731742E-006
   1594.80705219751       1.406289463511535E-006
   1606.29292884899       4.410432880254808E-007
   1633.11133670488       2.287246943056973E-007
   1669.25002802677       5.900201611745321E-008
   1710.05115924375       7.920093932115089E-006
   1726.46945688145       4.638039908346294E-005
   1749.67514635566       5.554980293280461E-006
   3059.84780310493       4.011727352335550E-007
   3117.01761777200       3.772201053610976E-009
   3144.55318670806       3.855690993667038E-007
   3234.98447545953       5.177315286798789E-007
   3295.07446911818       4.913348017566868E-007
   3410.56623020588       8.960955788964609E-008
   3434.60192156542       5.694886769261961E-006
   3523.21729447624       1.564876494149800E-006
   3668.48046022784       1.293940388428986E-007
   3695.20194163983       3.613525892554227E-007
   3734.81007365276       4.345703156931166E-007
   3879.33499759780       1.207920487564205E-008
   3892.89061514769       5.415786598851719E-008
   3896.99547226871       1.382236987914805E-007
