 # full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
 #at incident freq = ABS maximum    6.76500000000000        eV
 #    vib freq     dsigma/dOmega
       0.0000         0.50793E+07
      23.6997         0.19233E+02
      40.6518         0.37633E+02
      53.9545         0.64470E+01
      62.8630         0.54677E+02
      69.5887         0.14554E+02
     101.7442         0.14409E+02
     118.2485         0.34769E+02
     138.7096         0.36929E+03
     149.1788         0.58119E+03
     159.8440         0.19975E+02
     167.9591         0.20705E+03
     175.7391         0.77596E+02
     183.5732         0.92483E+02
     192.1327         0.22606E+03
     224.4472         0.19399E+03
     254.1259         0.17549E+01
     282.0350         0.41712E+02
     305.9820         0.10218E+03
     309.8139         0.20928E+03
     325.0443         0.23759E+02
     344.1424         0.28662E+03
     395.8558         0.32739E+02
     415.6368         0.57066E+04
     431.5847         0.18490E+03
     438.6288         0.39659E+04
     465.4920         0.55957E+03
     482.3864         0.37622E+04
     531.9302         0.62410E+03
     567.0992         0.26730E+04
     608.9593         0.30403E+03
     625.2399         0.12116E+04
     636.2481         0.65323E+04
     684.2637         0.26139E+03
     762.3258         0.18698E+04
     766.6492         0.46769E+05
     783.2078         0.60114E+03
     809.4516         0.16235E+03
     825.0916         0.46689E+05
     882.3864         0.11525E+04
     912.2085         0.83656E+03
     956.4498         0.78073E+01
    1012.2767         0.29305E+05
    1051.7974         0.11402E+05
    1080.6898         0.18771E+02
    1201.8189         0.37044E+05
    1248.7787         0.81330E+05
    1270.7559         0.36016E+05
    1397.0366         0.34072E+05
    1429.4932         0.14590E+04
    1470.7921         0.14013E+01
    1478.7285         0.52267E+05
    1492.2553         0.26449E+05
    1504.5580         0.41051E+06
    1552.3291         0.45290E+06
    1594.8071         0.17422E+04
    1606.2929         0.35408E+04
    1633.1113         0.33377E+04
    1669.2500         0.19696E+05
    1710.0512         0.15995E+06
    1726.4695         0.10984E+06
    1749.6751         0.61943E+05
    3059.8478         0.31217E+04
    3117.0176         0.64037E+01
    3144.5532         0.14131E+04
    3234.9845         0.27205E+04
    3295.0745         0.75796E+04
    3410.5662         0.29663E+03
    3434.6019         0.21730E+04
    3523.2173         0.13972E+03
    3668.4805         0.11559E+04
    3695.2019         0.21652E+04
    3734.8101         0.19381E+04
    3879.3350         0.20827E+01
    3892.8906         0.28888E+01
    3896.9955         0.10590E+03
