  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      32262.16         0.99720E+04   0.57334E+04   0.27248E+05   0.00000E+00
       0.00      32302.49         0.10061E+05   0.57789E+04   0.27526E+05   0.00000E+00
       0.00      32342.82         0.10151E+05   0.58250E+04   0.27807E+05   0.00000E+00
       0.00      32383.14         0.10242E+05   0.58721E+04   0.28095E+05   0.00000E+00
       0.00      32423.47         0.10336E+05   0.59198E+04   0.28387E+05   0.00000E+00
       0.00      32463.80         0.10431E+05   0.59685E+04   0.28685E+05   0.00000E+00
       0.00      32504.13         0.10527E+05   0.60179E+04   0.28988E+05   0.00000E+00
       0.00      32544.45         0.10625E+05   0.60681E+04   0.29296E+05   0.00000E+00
       0.00      32584.78         0.10725E+05   0.61193E+04   0.29610E+05   0.00000E+00
       0.00      32625.11         0.10827E+05   0.61712E+04   0.29930E+05   0.00000E+00
       0.00      32665.44         0.10931E+05   0.62241E+04   0.30256E+05   0.00000E+00
       0.00      32705.76         0.11036E+05   0.62780E+04   0.30588E+05   0.00000E+00
       0.00      32746.09         0.11143E+05   0.63327E+04   0.30927E+05   0.00000E+00
       0.00      32786.42         0.11253E+05   0.63885E+04   0.31272E+05   0.00000E+00
       0.00      32826.75         0.11364E+05   0.64452E+04   0.31623E+05   0.00000E+00
       0.00      32867.08         0.11478E+05   0.65029E+04   0.31981E+05   0.00000E+00
       0.00      32907.40         0.11593E+05   0.65617E+04   0.32347E+05   0.00000E+00
       0.00      32947.73         0.11711E+05   0.66215E+04   0.32719E+05   0.00000E+00
       0.00      32988.06         0.11831E+05   0.66825E+04   0.33099E+05   0.00000E+00
       0.00      33028.39         0.11953E+05   0.67445E+04   0.33486E+05   0.00000E+00
       0.00      33068.71         0.12078E+05   0.68077E+04   0.33881E+05   0.00000E+00
       0.00      33109.04         0.12205E+05   0.68721E+04   0.34284E+05   0.00000E+00
       0.00      33149.37         0.12335E+05   0.69377E+04   0.34695E+05   0.00000E+00
       0.00      33189.70         0.12467E+05   0.70045E+04   0.35114E+05   0.00000E+00
       0.00      33230.02         0.12601E+05   0.70726E+04   0.35542E+05   0.00000E+00
       0.00      33270.35         0.12739E+05   0.71420E+04   0.35979E+05   0.00000E+00
       0.00      33310.68         0.12879E+05   0.72128E+04   0.36425E+05   0.00000E+00
       0.00      33351.01         0.13022E+05   0.72849E+04   0.36881E+05   0.00000E+00
       0.00      33391.34         0.13168E+05   0.73585E+04   0.37346E+05   0.00000E+00
       0.00      33431.66         0.13317E+05   0.74334E+04   0.37821E+05   0.00000E+00
       0.00      33471.99         0.13469E+05   0.75099E+04   0.38306E+05   0.00000E+00
