  Pre-resonance RR spectrum
  According to gradient approx. in arb. units
  
   Raman shift(cm-1)     Intensity(arb units)
   134.202814278547       7.704993655328245E-009
   160.414498648764       6.166470030869897E-010
   196.222506968502       1.760345248028873E-008
   302.966173025398       3.874299685740363E-010
   314.073671935786       5.660166943264012E-008
   428.071093190380       9.870959640897550E-007
   432.897665547400       1.496049621105261E-006
   481.644642802642       1.051258993572179E-006
   574.281892240853       7.989391380426231E-008
   635.115536576403       4.935461942940398E-007
   759.350305925986       3.589752224491088E-007
   765.259342626693       1.181705952256420E-005
   782.459498931941       1.164811594846700E-007
   804.971812791669       1.274315297702264E-009
   824.890419588050       8.553894300437174E-006
   880.921590561729       1.005600854073281E-013
   956.393872992547       8.450353552080676E-010
   1011.03132395919       3.680808808369003E-006
   1050.49441885302       3.187764921966049E-006
   1080.68456030992       4.298125203903067E-009
   1201.11498820904       6.159092818783754E-008
   1248.26158530938       1.731203406113493E-005
   1270.66058734767       1.379725355712867E-006
   1397.05735703157       5.950872159981397E-006
   1429.50333207675       1.879807669307143E-007
   1470.79206348555       1.564777473933950E-010
   1478.65872220129       8.736354584141099E-006
   1492.29004568400       1.442042027470275E-006
   1504.09274136089       4.197763091758658E-005
   1551.74072319308       9.201611256442880E-005
   1702.40081451181       8.802355776368892E-009
   1725.76279086928       2.558384502981738E-005
   1742.73689770987       5.598933245373936E-006
   3059.84894563390       7.044349750652636E-007
   3117.01761474273       1.495492228669169E-009
   3144.55398470318       3.260744632653950E-007
   3234.98442999435       7.083581774815308E-008
   3303.50140753217       1.585947229789588E-007
   3435.88003771406       1.870734002732472E-007
